text,label
ded reason may alah forgive u al,1
forest fire near la ronge sask canada,1
al resident asked shelter place notified oficers evacuation shelter place order expected,1
people receive evacuation order california,1
got sent photo ruby smoke pours schol,1
update california hwy closed direction due lake county fire,1
heavy rain cause flash floding strets manitou colorado spring area,1
top hil se fire wods,1
emergency evacuation hapening building acros stret,1
afraid tornado coming area,1
hre people died heat wave far,1
haha south tampa geting floded hah wait second live south tampa gona gona fvck,1
day lost count,1
bago myanmar arived bago,1
damage schol bus multi car crash,1
way eat shit,0
nyc last wek,0
wholesale market ablaze,1
always try bring heavy,0
breaking news nigeria flag set ablaze aba,1
cry set ablaze,0
plus side lok sky last night ablaze,0
built much hype around new acquisition doubt wil set epl ablaze season,0
inec ofice abia set ablaze,1
barbados jamaica two car set ablaze santa cruz head st elizabeth police superintende,1
outside ablaze alive dead inside,0
awesome time visiting cfc head ofice ancop site ablaze thanks tita vida taking care u,0
wanted set chicago ablaze preaching hotel,0
gained folowers last wek know stats grow,0
west burne thousand wildfire ablaze california alone,1
building perfect tracklist life leave strets ablaze,0
first night retainer quite weird beter get used wear every single night next year least,0
deputy man shot brighton home set ablaze,1
man wife get six year jail seting ablaze niece,1
santa cruz head st elizabeth police superintendent lanford salmon r,0
police arsonist deliberately set black church north carolina ablaze,1
noches el bestia hapy se teamates training hard godnight guners,0
trampling turkmen flag later set ablaze others vandalized ofices turkmen front,1
uck ablaze r vortreker ave outside tambo intl cargo section,1
set heart ablaze every city gift every skyline like ki upon lip,0
hey sky ablaze tonight los angeles expecting ig fb filed sunset shot know pep,0
west burne thousand wildfire ablaze alone,1
evel wmv video mean mac farewel ablaze wmv en route dv gtxrwm,0
progresive gretings month student would set pen ablaze torch publication,0
ene ablaze amp jacinta secret k falen sky edit mar,0
steve fire something else california tinderbox clown seting hod ablaze,1
rene ablaze amp ian buf magnitude,0
huge fire wholesale market ablaze,1
time talk go know make due work,0
kid cuz got bicycle acident amp split testicle imposible kid michael father,0
acident w trafic moving slower usual,1
acident center lane blocked u nb great america pkwy,1
acident sumer read advice amp se help,0
speding among top cause ten acidents car acident te,0
eported motor vehicle acident cury herman rd near stephenson involving overturned vehicle please use,1
bigrigradio live acident awarenes,1
mile marker south moresvile iredel vehicle acident ramp closed pm,1
sleping pils double risk car acident,0
acident knew gon hapen,0
afic acident n cabrilo hwy magelan av mir,1
mile marker south moresvile iredel vehicle acident congestion pm,1
pastor scene acident owner range rover,1
mom get home fast wished mom acident truck spilt mayonaise al,0
horible car acident past sunday finaly able get around thank god,1
wait se pised donie tel another acident,0
overturn interstate click ben crash gt,1
acident u sb sr,1
carolina acident motorcyclist dy crash car crosed median motorcycle rider traveling,1
fyi cafyi acident property damage nh piner rd horndale dr,1
nayf first acident year turning onto chandane magu near taxi ramed halfway turned everyone conf,1
acident left lane blocked rt nb edy rd stop go trafic back nh delay min,1
acident property damage piner rd horndale dr,1
fyi cafyi acident property damage wpd th st,1
pm trafic acident injury wilis foreman rd,1
ashiqui actres anu agarwal near fatal acident,1
sufield alberta acident,1
mile backup south acident blocking right lane exit langtre rd consider nc nc nc alternate,1
acident changed life wil help determine option financialy suport life care plan going treatment,0
deadly motorcycle car acident hapened today l detail,1
car even wek got fucking car acident mf fucking drive,1
police previously died road acident kiled explosion,1
stil heard church leader kenya coming forward coment acident isue disciplinary measure,0
scuf p live game cya,0
man drive efort get painful man wil win roger banister,0
victory bargain basement price dwight david eisenhower,0
nobody remembers came second charles schulz,0
im speaking someone using scuf xb people wil end geting p also,0
harder conflict glorious triumph thomas paine,0
going clay pigeon shoting cry aftershock,0
gues one actualy want fre aftershock tc,0
aftershock terifying best roler coaster ever ben disclaimer ben,0
seing isues aftershock,0
bonus minute daily habit could realy improve life many already,0
aftershock protect profit next global financial meltdown david wiedemer htp,0
hat moment get scary roler coaster guy behind screaming blody murder,0
aftershock ful streaming youtube,0
gt gt aftershock protect profit next global financial,0
sometimes face dificulties something wrong something right joel osten,0
thing stand betwen dream wil try belief actualy posible joel brown,0
praise god ministry tels like,0
remembering going die best way know avoid trap thinking something lose steve job,0
ied orange aftershock today life wil never,0
aftershock back schol kick great want thank everyone making posible great night,0
people say canot done interupt george bernard shaw,0
first man get oyster second man get shel andrew carnegie,0
anyone ned p u tonight play hybrid slayer p eu hmu,0
expert france begin examining airplane debris found reunion islan french air acident expert,1
strict liability context airplane acident pilot eror comon component aviation cr,1
lifetime od dying airplane acident,0
expert france begin examining airplane debris found reunion islan french air acident expert wedn,1
aw airplane acident gona die cuties god job,1
family member osama bin laden died airplane acident ironic mhm gov shit suspect,1
